date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:04	443/443	---M--	200	added ('OK')	text/plain	etag:W/%221bb-vSHNsUa7VWyA63DVja2Ytd/v8ts%22	https://studioslowpace.wixsite.com/robots.txt		(from )
10:57:05	749342/749342	---MCZ	200	added ('OK')	text/html	etag:W/%22f658e999e248d33774faea3f9a854a22%22	https://studioslowpace.wixsite.com/slowpacestudio	C:/My%20Websites/slowpacestudio/studioslowpace.wixsite.com/slowpacestudio.html	(from )
10:57:05	432253/432253	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	C:/My%20Websites/slowpacestudio/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://studioslowpace.wixsite.com/slowpacestudio)
10:57:05	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Websites/slowpacestudio/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://studioslowpace.wixsite.com/slowpacestudio)
10:57:06	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Websites/slowpacestudio/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://studioslowpace.wixsite.com/slowpacestudio)
10:57:06	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jun%202026%2002:57:06%20GMT	https://studioslowpace.wixsite.com/C,location.href	C:/My%20Websites/slowpacestudio/studioslowpace.wixsite.com/C,location.4.delayed	(from https://studioslowpace.wixsite.com/slowpacestudio)
10:57:06	2508/2508	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jun%202026%2002:57:06%20GMT	https://studioslowpace.wixsite.com/	C:/My%20Websites/slowpacestudio/studioslowpace.wixsite.com/index.html	(from https://studioslowpace.wixsite.com/slowpacestudio)
10:57:06	2508/2508	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jun%202026%2002:57:06%20GMT	https://studioslowpace.wixsite.com/t	C:/My%20Websites/slowpacestudio/studioslowpace.wixsite.com/t.5.delayed	(from https://studioslowpace.wixsite.com/slowpacestudio)
10:57:07	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jun%202026%2002:57:07%20GMT	https://studioslowpace.wixsite.com/o	C:/My%20Websites/slowpacestudio/studioslowpace.wixsite.com/o.6.delayed	(from https://studioslowpace.wixsite.com/slowpacestudio)
10:57:07	597/597	---M--	200	added ('OK')	text/xml	date:Mon,%2001%20Jun%202026%2002:57:07%20GMT	https://studioslowpace.wixsite.com/slowpacestudio/blog-feed.xml	C:/My%20Websites/slowpacestudio/studioslowpace.wixsite.com/slowpacestudio/blog-feed.xml	(from https://studioslowpace.wixsite.com/slowpacestudio)
10:57:08	16087/16087	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jun%202026%2002:57:08%20GMT	https://static.wixstatic.com/media/fc4bd9_4388b1f637fa4993b4e82dfcb18eca81~mv2.png/v1/fill/w_239,h_60,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/logo3(%e9%95%b7%e6%96%b9)_%e5%b7%a5%e4%bd%9c%e5%8d%80%e5%9f%9f%201.png	C:/My%20Websites/slowpacestudio/static.wixstatic.com/media/fc4bd9_4388b1f637fa4993b4e82dfcb18eca81_mv2.png/v1/fill/w_239,h_60,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/logo3(%e9%95%b7%e6%96%b9)_%e5%b7%a5%e4%bd%9c%e5%8d%80%e5%9f%9f%201.png	(from https://studioslowpace.wixsite.com/slowpacestudio)
10:57:09	761759/761759	---MCZ	200	added ('OK')	text/html	etag:W/%22a9aec1519eb216f05306be8c68ea0344%22	https://studioslowpace.wixsite.com/slowpacestudio/%e5%89%af%e6%9c%ac-%e8%87%aa%e4%b8%bb%e4%bc%81%e5%8a%83-passion-project	C:/My%20Websites/slowpacestudio/studioslowpace.wixsite.com/slowpacestudio/%e5%89%af%e6%9c%ac-%e8%87%aa%e4%b8%bb%e4%bc%81%e5%8a%83-passion-project.html	(from https://studioslowpace.wixsite.com/slowpacestudio)
10:57:09	695877/695877	---MCZ	200	added ('OK')	text/html	etag:W/%22505fe26a8bd3b5b53e71f5f74bed45b8%22	https://studioslowpace.wixsite.com/slowpacestudio/blank	C:/My%20Websites/slowpacestudio/studioslowpace.wixsite.com/slowpacestudio/blank.html	(from https://studioslowpace.wixsite.com/slowpacestudio)
10:57:10	707138/707138	---MCZ	200	added ('OK')	text/html	etag:W/%22a361ee291170a354bdd172108caa1cf6%22	https://studioslowpace.wixsite.com/slowpacestudio/%e5%ae%a2%e8%88%8d%e9%9b%bb%e5%ad%90%e5%a0%b1	C:/My%20Websites/slowpacestudio/studioslowpace.wixsite.com/slowpacestudio/%e5%ae%a2%e8%88%8d%e9%9b%bb%e5%ad%90%e5%a0%b1.html	(from https://studioslowpace.wixsite.com/slowpacestudio)
10:57:10	696032/696032	---MCZ	200	added ('OK')	text/html	etag:W/%2279f0878fa81ae1042b83b46368ec7d0a%22	https://studioslowpace.wixsite.com/slowpacestudio/%e5%ae%a2%e8%88%8d%e8%90%ac%e4%ba%8b%e5%b1%8b	C:/My%20Websites/slowpacestudio/studioslowpace.wixsite.com/slowpacestudio/%e5%ae%a2%e8%88%8d%e8%90%ac%e4%ba%8b%e5%b1%8b.html	(from https://studioslowpace.wixsite.com/slowpacestudio)
10:57:12	698150/698150	---MCZ	200	added ('OK')	text/html	etag:W/%2228343fa188178b88a0a5d83a79930795%22	https://studioslowpace.wixsite.com/slowpacestudio/%e5%b0%8b%e6%89%be%e6%9b%b8%e5%8f%8b	C:/My%20Websites/slowpacestudio/studioslowpace.wixsite.com/slowpacestudio/%e5%b0%8b%e6%89%be%e6%9b%b8%e5%8f%8b.html	(from https://studioslowpace.wixsite.com/slowpacestudio)
10:57:12	1154197/1154197	---MCZ	200	added ('OK')	text/html	etag:W/%222b4201484118bc6529bf2860d28eb42f%22	https://studioslowpace.wixsite.com/slowpacestudio/%e5%95%86%e5%ba%97-shop	C:/My%20Websites/slowpacestudio/studioslowpace.wixsite.com/slowpacestudio/%e5%95%86%e5%ba%97-shop.html	(from https://studioslowpace.wixsite.com/slowpacestudio)
10:57:12	696237/696237	---MCZ	200	added ('OK')	text/html	etag:W/%22c4c756545772e7e25e14adc157e2be80%22	https://studioslowpace.wixsite.com/slowpacestudio/%e6%82%a0%e9%96%92%e5%b0%8f%e9%81%8a%e6%88%b2	C:/My%20Websites/slowpacestudio/studioslowpace.wixsite.com/slowpacestudio/%e6%82%a0%e9%96%92%e5%b0%8f%e9%81%8a%e6%88%b2.html	(from https://studioslowpace.wixsite.com/slowpacestudio)
10:57:14	580650/580650	---MCZ	200	added ('OK')	text/html	etag:W/%228f42bffc08244a2087b788ee99c8d3b6%22	https://studioslowpace.wixsite.com/slowpacestudio/%e7%a9%ba%e9%96%93%e5%8f%8b%e4%bd%bf%e7%94%a8%e6%99%82%e9%96%93%e8%a1%a8	C:/My%20Websites/slowpacestudio/studioslowpace.wixsite.com/slowpacestudio/%e7%a9%ba%e9%96%93%e5%8f%8b%e4%bd%bf%e7%94%a8%e6%99%82%e9%96%93%e8%a1%a8.html	(from https://studioslowpace.wixsite.com/slowpacestudio)
